Name,Address,County
CHAMBERS CO HLTH DEPT - VALLEY,"5 MEDICAL PARK N, VALLEY, AL 36854-3607",CHAMBERS
CHARLES HENDERSON CHILD HLTH CTR,"1300 HIGHWAY 231 S, TROY, AL 36081-3058",PIKE
CHEROKEE CO HLTH DEPT,"833 CEDAR BLUFF RD, CENTRE, AL 35960-1005",CHEROKEE
CHEROKEE MEDICAL CENTER,"400 NORTHWOOD DR, CENTRE, AL 35960-1023",CHEROKEE
CHILDREN'S OF ALABAMA ,"1600 7TH AVE S, BIRMINGHAM, AL 35233-1711",JEFFERSON
CHILTON CO HEALTH DEPT,"301 HEALTH CENTER DR, CLANTON, AL 35045-2349",CHILTON
CHOCTAW CO HLTH DEPT,"1001 S MULBERRY AVE, BUTLER, AL 36904-2813",CHOCTAW
CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR AVE, BUTLER, AL 36904-3032",CHOCTAW
CHRIST HEALTH CENTER,"5720 1ST AVE S, BIRMINGHAM, AL 35212-2522",JEFFERSON
CHRIST HEALTH CENTER-CHALKVILLE,"2152 OLD SPRINGVILLE RD, CENTER POINT, AL 35215-4005",JEFFERSON
CLARKE CO HEALTH DEPT,"22600 HWY 84 EAST, GROVE HILL, AL 36451-0477",CLARKE
CLAY CO HLTH DEPT,"86892 HIGHWAY 9, LINEVILLE, AL 36266-6949",CLAY
CLAY COUNTY HOSPITAL AND NURSING HOME,"83825 HIGHWAY 9, ASHLAND, AL 36251-7981",CLAY
CLAY COUNTY MEDICAL CLINICS PC,"60026 HIGHWAY 49, LINEVILLE, AL 36266-4735",CLAY
CLEBURNE CO HLTH DEPT,"90 BROCKFORD RD, HEFLIN, AL 36264-1677",CLEBURNE
CLEBURNE PHARMACY - HEFLIN,"875 ROSS ST, HEFLIN, AL 36264-1131",CLEBURNE
CLEBURNE PHARMACY (WEDOWEE),"17054 US-431, WEDOWEE, AL 36278",RANDOLPH
CLEVELAND PHARMACY,"36321 STATE HWY 79 SUITE 2, CLEVELAND, AL 35049",BLOUNT
CLIFTON CARE INC.,"122 N SNEAD ST, BOAZ, AL 35957-1763",MARSHALL
COFFEE CO HLTH DEPT,"2841 NEIL METCALF RD, ENTERPRISE, AL 36330",COFFEE
COLBERT CO HLTH DEPT,"1000 JACKSON HWY, TUSCUMBIA, AL 35674-5684",COLBERT
COMMUNITY HOSP INC TALLASSEE,"805 FRIENDSHIP RD, TALLASSEE, AL 36078-1234",ELMORE
COMPLETE FAMILY CARE,"280 INDUSTRIAL BLVD, LEESBURG, AL 35983",CHEROKEE
COMPREHENSIVE PEDIATRICS AND INT. MED,"430 EMERY DRIVE, HOOVER, AL 35244",JEFFERSON
CONECUH CO HLTH DEPT,"102 WILD AVE, EVERGREEN, AL 36401-2134",CONECUH
COOSA VALLEY MEDICAL CENTER,"315 W HICKORY ST, SYLACAUGA, AL 35150-2913",TALLADEGA
COTTRELL'S HOMETOWN PHARMACY,"305 FORREST AVE, EAST BREWTON, AL 36426",ESCAMBIA
COVINGTON CO HLTH DEPT - ANDALUSIA,"23989 AL HIGHWAY 55, ANDALUSIA, AL 36420-5470",COVINGTON
"COVINGTON HEALTHCARE, LLC","1608A GILMER AVE, TALLASSEE, AL 36078-2314",ELMORE
CRENSHAW CO HLTH DEPT,"15 HOSPITAL DR, LUVERNE, AL 36049-7341",CRENSHAW
CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE, LUVERNE, AL 36049",CRENSHAW
CRENSHAW DRUGS,"1440 SOUTH FOREST AVE. , LUVERNE, AL 36049",CRENSHAW
CRESTWOOD MEDICAL CENTER,"1 HOSPITAL DR SW, HUNTSVILLE, AL 35801-6455",MADISON
CULLMAN CO HLTH DEPT,"601 LOGAN AVE SW, CULLMAN, AL 35055-4520",CULLMAN
CULLMAN FAMILY PRACTICE,"408 CLARK ST NE, CULLMAN, AL 35055-1953",CULLMAN
CULLMAN REGIONAL MED CENTER,"1912 AL HIGHWAY 157, CULLMAN, AL 35058-0609",CULLMAN
D W MCMILLAN MEM HOSP,"1301 BELLEVILLE AVE ROOM 1, BREWTON, AL 36426-1306",ESCAMBIA
DABBS AND HYLAND PC,"1513 PEDIATRIC DR, JASPER, AL 35501-4059",WALKER
DALE CO HLTH DEPT - OZARK,"532 W ROY PARKER RD, OZARK, AL 36360-1006",DALE
DALE MEDICAL CENTER,"126 HOSPITAL AVE, OZARK, AL 36360-2018",DALE
DALLAS AVENUE PHARMACY,"1402 WEST DALLAS AVENUE, SELMA, AL 36701",DALLAS
DALLAS CO HLTH DEPT,"100 SAMUEL O MOSELEY DR, SELMA, AL 36701-6729",DALLAS
DALTON PHARMACY,"141 S DALTON STREET, SLOCOMB, AL 36375",GENEVA
DALTON PHARMACY HARTFORD,"112 S 4TH AVENUE, HARTFORD, AL 36344",GENEVA
DCH REGIONAL MEDICAL CENTER,"809 UNIVERSITY BLVD E, TUSCALOOSA, AL 35401-2029",TUSCALOOSA
"DEAN'S DRUGS, INC.","699 CEDAR BLUFF RD., CENTRE, AL 35960",CHEROKEE
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,"1201 7TH ST SE, DECATUR, AL 35601-3337",MORGAN
DEKALB CLINIC,"415 MEDICAL CENTER DR SW, FORT PAYNE, AL 35968-3421",DEKALB
DEKALB CO HLTH DEPT,"2401 CALVIN DR SW, FORT PAYNE, AL 35967-1100",DEKALB
DEKALB FAMILY MEDICINE - FT PAYNE,"1357 OLD WATER WORKS RD SW, FORT PAYNE, AL 35968-3420",DEKALB
DEKALB REGIONAL MEDICAL CENTER,"PO BOX 680778, FORT PAYNE, AL 35968-1608",DEKALB
"DOTHAN MEDICAL ASSOC,PC","1118 ROSS CLARK CIR STE 100, DOTHAN, AL 36301-3023",HOUSTON
DOTHAN PEDIATRIC CLINIC,"126 CLINIC DR, DOTHAN, AL 36303-1980",HOUSTON
DR. CELESTE REESE WILLIS MEDICAL GROUP,"401 TUSCALOOSA AVE, BIRMINGHAM, AL 35211",JEFFERSON
DURHAM PHARMACY,"44984 HWY 17, VERNON, AL 35592-5647",LAMAR
DY RITKY C  MEDICAL CLINIC,"1221 7TH ST S, CLANTON, AL 35045-3723",CHILTON
EAMC-LANIER,"4800 48TH ST, VALLEY, AL 36854-3666",CHAMBERS
"EAST ALABAMA APOTHECARY, LLC #2","2501 VILLAGE PROFESSIONAL DRIVE, OPELIKA, AL 36801",LEE
EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PKWY, OPELIKA, AL 36801-5452",LEE
ELMORE CO HLTH DEPT,"6501 US HWY 231 NORTH, WETUMPKA, AL 36092-0006",ELMORE
ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DR, WETUMPKA, AL 36092-1625",ELMORE
EMERGING HOME CARE PHARMACY,"PO BOX 899, ROANOKE, AL 36274-0899",RANDOLPH
Encompass Health Lakeshore Rehab,"3800 RIDGEWAY DRIVE, BIRMINGHAM, AL 35209",JEFFERSON
ENCOMPASS HLTH REHAB MONTGOMERY,"4465 NARROW LANE RD, MONTGOMERY, AL 36116-2953",MONTGOMERY
ENCOMPASS HLTH REHAB NO AL,"107 GOVERNORS DRIVE, HUNTSVILLE, AL 35801",MADISON
ESCAMBIA CO HLTH DEPT - ATMORE,"8600 HIGHWAY 31 STE 17, ATMORE, AL 36502-2686",ESCAMBIA
ESCAMBIA CO HLTH DEPT - BREWTON,"1115 AZALEA PL, BREWTON, AL 36426-1318",ESCAMBIA
ETOWAH CENTER FOR INTERNAL MEDICINE,"207 E GRAND AVE, RAINBOW CITY, AL 35906-6218",ETOWAH
ETOWAH CO HLTH DEPT,"709 E BROAD ST, GADSDEN, AL 35903-2452",ETOWAH
EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVE, EVERGREEN, AL 36401-3333",CONECUH
FAIRFAX DRUG COMPANY,"89 TRAMMELL BLOCK, VALLEY, AL 36854",CHAMBERS
FAIRHOPE PEDIATRICS,"19087B GREENO RD, FAIRHOPE, AL 36532-3899",BALDWIN
FAMILY HEALTH CARE - DECATUR,"1304 13TH AVE SE STE A, DECATUR, AL 35601-4316",MORGAN
FAMILY HEALTH CARE - FLORENCE,"216 SOUTH MARENGO STREET, FLORENCE, AL 35630",LAUDERDALE
FAMILY HEALTH CARE - MUSCLE SHOALS,"102 PHYSICIANS DR STE B, MUSCLE SHOALS, AL 35661-2100",COLBERT
FAMILY HEALTH CARE - RUSSELLVILLE,"318 COFFEE AVENUE NE, RUSSELLVILLE, AL 35653-2331",FRANKLIN
FAMILY HEALTH CARE - TOWN CREEK,"1841 AL HIGHWAY 20, TOWN CREEK, AL 35672-2500",LAWRENCE
FAMILY MEDICAL CLINIC OF JACKSON,"227 HOSPITAL DR, JACKSON, AL 36545-2423",CLARKE
FAMILY MEDICINE FOR YOUR FAMILY PC,"505 BURLINGTON ST, SCOTTSBORO, AL 35768-4216",JACKSON
FAMLY PHARMACY OF RUSSELLVILLE (FRANKLIN),"455 UNDERWOOD RD, RUSSELLVILLE, AL 35653",FRANKLIN
FAYETTE CO HLTH DEPT,"215 1ST AVE NW, FAYETTE, AL 35555-2331",FAYETTE
FAYETTE MEDICAL CENTER,"1653 TEMPLE AVE N, FAYETTE, AL 35555-1314",FAYETTE
FLORENCE MEDICAL ASSOCIATES,"646 COX CREEK PKWY STE B, FLORENCE, AL 35630-1189",LAUDERDALE
FLOWERS HOSPITAL,"4370 W MAIN ST, DOTHAN, AL 36305-1056",HOUSTON
FOPHC-CITRONELLE HEALTH CENTER,"19250 N MOBILE ST, CITRONELLE, AL 36522-2122",MOBILE
FOPHC-NORTH MOBILE HEALTH CENTER,"950 W COY SMITH HWY, MOUNT VERNON, AL 36560-3201",MOBILE
FOPHC-SEMMES HEALTH CENTER,"3810 WULFF RD E, SEMMES, AL 36575-5256",MOBILE
FOPHC-SOUTHWEST HEALTH CENTER,"5580 INN RD, MOBILE, AL 36619-1904",MOBILE
FOPHC-WOMEN'S HEALTH-N. BAYOU ST,"251 N BAYOU ST, MOBILE, AL 36603-5827",MOBILE
FORT MITCHELL CLINIC PC,"2 GILMORE RD, FORT MITCHELL, AL 36856-4442",RUSSELL
FORT WILLIAMS PHARMACY,"401 W FORT WILLIAMS ST, SYLACAUGA, AL 35150-2435",TALLADEGA
FPHC - FRISCO CITY FAMILY MEDICAL CENTER,"53 MULBERRY ST, FRISCO CITY, AL 36445-4484",MONROE
FPHC - GILBERTOWN MEDICAL CENTER,"140 FRONT ST STE 4, GILBERTOWN, AL 36908-5510",CHOCTAW
FPHC - NORTH BALDWIN FAMILY HEALTH CENTER,"201 D'OLIVE STREET, BAY MINETTE, AL 36507",BALDWIN
FRANKLIN CO HLTH DEPT,"PO BOX 100, RUSSELLVILLE, AL 35653-0100",FRANKLIN
GADSDEN CITY PHARMACY,"911 RAINBOW DR, GADSDEN, AL 35901-5309",ETOWAH
GADSDEN REGIONAL MEDICAL CTR,"1007 GOODYEAR AVE, GADSDEN, AL 35903-1195",ETOWAH
GENEVA CO HLTH DEPT,"300 COUNTY ROAD 41, HARTFORD, AL 36344-5177",GENEVA
GENTRY DRUGS,"551 MEMORIAL PKWY NE, ALICEVILLE, AL 35442-2743",PICKENS
GOOD SAMARITAN CLINIC,"3880 WATERMELON ROAD, SUITE A, NORTHPORT, AL 35473",TUSCALOOSA
GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PKWY, BIRMINGHAM, AL 35243-3326",JEFFERSON
GRANT FAMILY PRACTICE CLINIC,"5447 MAIN ST, GRANT, AL 35747-8322",MARSHALL
GREEN VALLEY DRUGS,"1915 HOOVER COURT, HOOVER, AL 35226",JEFFERSON
GREENE CO HLTH DEPT,"412 MORROW AVE, EUTAW, AL 35462-1109",GREENE
GROVE HILL HEALTH CARE,"295B S JACKSON ST, GROVE HILL, AL 36451-3231",CLARKE
GUNTERSVILLE FAMILY PRACTICE CLINIC,"1241 BLOUNT AVE, GUNTERSVILLE, AL 35976-1831",MARSHALL
H AND M DRUGS,"17216 HIGHWAY 431, WEDOWEE, AL 36278-4574",RANDOLPH
HALE CO HLTH DEPT,"670 HALL ST, GREENSBORO, AL 36744-2516",HALE
HALE COUNTY HOSPITAL,"508 GREENE ST, GREENSBORO, AL 36744-2316",HALE
HALE COUNTY HOSPITAL CLINIC,"400 FIRST STREET, GREENSBORO, AL 36744-2316",HALE
HAPPI HEALTH,"813 FRANKLIN ST SE STE B, HUNTSVILLE, AL 35801-4311",MADISON
HAZEL GREEN PHARMACY,"13574 HIGHWAY 231 431 N STE B, HAZEL GREEN, AL 35750-8642",MADISON
HEALTHPOINTE PRIMARY CARE,"24020 JOHN T. REID PARKWAY, SCOTTSBORO, AL 35768",JACKSON
HELEN KELLER HOSPITAL,"1300 S MONTGOMERY AVE, SHEFFIELD, AL 35660-6334",COLBERT
HENRY CO HLTH DEPT - ABBEVILLE,"505 KIRKLAND ST, ABBEVILLE, AL 36310-2736",HENRY
HIGHLAND HEALTH SYSTEM,"331 EAST 8TH STREET, ANNISTON, AL 36202",CALHOUN
HIGHLANDS MEDICAL CENTER,"380 WOODS COVE RD, SCOTTSBORO, AL 35768-2428",JACKSON
HILL HOSPITAL OF SUMTER COUNTY,"751 DERBY DR, YORK, AL 36925-2121",SUMTER
"HOMETOWN PHARMACY, LLC","69 W MAIN ST, GILBERTOWN, AL 36908",CHOCTAW
HOOD'S PHARMACY,"4500 20TH AVE, VALLEY, AL 36854",CHAMBERS
HOUSTON CO HLTH DEPT,"1781 E COTTONWOOD RD, DOTHAN, AL 36301-5309",HOUSTON
HSI - HAYNEVILLE FAMILY HEALTH,"511 E TUSKEENA ST, HAYNEVILLE, AL 36040-2666",LOWNDES
HSI - RIVER REGION HEALTH CTR,"1845 CHERRY ST, MONTGOMERY, AL 36107-2613",MONTGOMERY
"HUGH'S PHARMACY, INC.","100 MEDICAL CENTER DR., GADSDEN, AL 35903",ETOWAH
HUNTSVILLE HOSPITAL,"101 SIVLEY RD SW, HUNTSVILLE, AL 35801-4421",MADISON
HUNTSVILLE PEDIATRIC ASSOCIATES,"2004 AIRPORT RD STE 1, HUNTSVILLE, AL 35801-5338",MADISON
INFIRMARY EMPLOYEE HEALTH - MI,"185 MOBILE INFIRMARY BLVD, MOBILE, AL 36607-3509",MOBILE
INFIRMARY EMPLOYEE HEALTH - TH,"750 MORPHY AVE, FAIRHOPE, AL 36532-1812",BALDWIN
INTERNAL MEDICINE CLINIC LLC,"204 ANA DR, FLORENCE, AL 35630-1750",LAUDERDALE
IVY CREEK FAMILY CARE OF TALLASSEE,"2256 GILMER AVE, TALLASSEE, AL 36078-7114",ELMORE
JACK HUGHSTON MEMORIAL HOSPITAL,"4401 RIVERCHASE DR, PHENIX CITY, AL 36867-7483",RUSSELL
JACKSON CO HLTH DEPT,"204 LIBERTY LN, SCOTTSBORO, AL 35769-4133",JACKSON
JACKSON DRUGS,"1974 CHEROKEE RD., ALEXANDER CITY, AL 35010",TALLAPOOSA
JACKSON HOSPITAL,"1725 PINE ST, MONTGOMERY, AL 36106-1109",MONTGOMERY
JACKSON MEDICAL CENTER,"220 HOSPITAL DR, JACKSON, AL 36545-2459",CLARKE
JACKSON MEDICAL URGENT CARE CLINIC,"220 HOSPITAL DR, JACKSON, AL 36545-2459",CLARKE
JACKSONS POINT OF LIGHT FAMILY MEDICINE,"1810 STADIUM DR STE 130, PHENIX CITY, AL 36867-3178",RUSSELL
JEFFERSON COUNTY DEPARTMENT OF HEALTH COMMUNITY VACCINATIONS,"401 14TH STREET SOUTH, BIRMINGHAM, AL 35233",JEFFERSON
JERRY'S DISCOUNT PHARMACY,"300 WALL ST, GADSDEN, AL 35904-1938",ETOWAH
KC DRUG,"40870 AL HIGHWAY 69 STE D, MOUNDVILLE, AL 35474-4367",HALE
KILLEN CLINIC,"148 J C MAULDIN HWY, KILLEN, AL 35645-9106",LAUDERDALE
KILLEN CORNER DRUG STORE,"1621 HWY 72, PO BOX 57, KILLEN, AL 35645",LAUDERDALE
LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN RD, DADEVILLE, AL 36853-6244",TALLAPOOSA
LAKE MARTIN FAMILY MEDICINE,"301 MARIARDEN RD, DADEVILLE, AL 36853-6254",TALLAPOOSA
LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195, HALEYVILLE, AL 35565-7054",WINSTON
LAKESIDE CLINIC LLC,"2337 HOMER CLAYTON DR, GUNTERSVILLE, AL 35976-2205",MARSHALL
LAKESIDE PRIMARY CARE,"1260 CHESNUT BYPASS SUITE A, CENTRE, AL 35960",CHEROKEE
LAMAR CO HLTH DEPT,"300 SPRINGFIELD RD, VERNON, AL 35592-4648",LAMAR
LATHAM'S PHARMACY,"178 S MAIN STREET, ARAB, AL 35016",MARSHALL
LAUDERDALE CO HLTH DEPT,"4112 CHISHOLM RD, FLORENCE, AL 35630-7345",LAUDERDALE
LAWRENCE CO HLTH DEPT,"13299 AL HIGHWAY 157, MOULTON, AL 35650-3706",LAWRENCE
LEE CO HLTH DEPT,"1801 CORPORATE DR, OPELIKA, AL 36801-6861",LEE
LIMESTONE CO HLTH DEPT,"20371 CLYDE MABRY DR, ATHENS, AL 35611-6764",LIMESTONE
LINCOLN FAMILY PRACTICE,"1100 PATTON CHAPEL RD, LINCOLN, AL 35096-4723",TALLADEGA
LOWNDES CO HLTH DEPT,"507 E TUSKEENA ST, HAYNEVILLE, AL 36040-2666",LOWNDES
LOWRY DRUGS & GIFTS,"3705 HWY 431, STE. B, ROANOKE, AL 36274",RANDOLPH
LV STABLER PRIMARY CARE LLC,"300 N COLLEGE ST, GREENVILLE, AL 36037-2025",BUTLER
MACON CO HLTH DEPT,"812 HOSPITAL RD, TUSKEGEE, AL 36083-1541",MACON
MADISON CO HLTH DEPT,"PO BOX 17708, HUNTSVILLE, AL 35810-7708",MADISON
MADISON HEALTH MART PHARMACY,"8498 MADISON BLVD. SUITE A, MADISON, AL 35758",MADISON
MAINSTREET DRUGS,"2319 COGSWELL AVENUE, PELL CITY, AL 35125",ST. CLAIR
MAINSTREET FAMILY CARE - ALEXANDER CITY,"2508 US HIGHWAY 280, ALEXANDER CITY, AL 35010",TALLAPOOSA
MAINSTREET FAMILY CARE - ANDALUSIA,"508 EAST THREE NOTCH STREET, ANDALUSIA, AL 36420",COVINGTON
MAINSTREET FAMILY CARE - ARAB,"1420 NORTH BRINDLEE MOUNTAIN PARKWAY, ARAB, AL 35016",MARSHALL
MAINSTREET FAMILY CARE - BREWTON,"2134 DOUGLAS AVE., BREWTON, AL 36426",ESCAMBIA
MAINSTREET FAMILY CARE - CENTRE,"1925 WEST MAIN STREET, CENTRE, AL 35960",CHEROKEE
MAINSTREET FAMILY CARE - EUFAULA,"1026 SOUTH EUFAULA AVE., EUFAULA, AL 36027",BARBOUR
MAINSTREET FAMILY CARE - MILLBROOK,"1401 AL HIGHWAY 14, MILLBROOK, AL 36054",ELMORE
MAINSTREET FAMILY CARE - MOBILE,"6280 GRELOT ROAD, MOBILE, AL 36609",MOBILE
MAINSTREET FAMILY CARE - MONROEVILLE,"1195 SOUTH ALABAMA AVE., MONROEVILLE, AL 36460",MONROE
MAINSTREET FAMILY CARE - MONTGOMERY,"3039 VAUGHN ROAD, MONTGOMERY, AL 36106",MONTGOMERY
MAINSTREET FAMILY CARE - MOODY,"2211 MOODY PARKWAY, MOODY, AL 35004",ST. CLAIR
MAINSTREET FAMILY CARE - ONEONTA,"2022 2ND AVE. EAST, ONEONTA, AL 35121",BLOUNT
MAINSTREET FAMILY CARE - PELHAM,"300 BIG MOUNTAIN ROAD, PELHAM, AL 35124",SHELBY
MAINSTREET FAMILY CARE - SELMA,"1475 AL HWY 14 EAST, SELMA, AL 36703",DALLAS
MAINSTREET FAMILY CARE - SYLACAUGA,"40900 US HIGHWAY 280, SYLACAUGA, AL 35150",TALLADEGA
